[2025-09-24 17:46:08,613][__main__][INFO] - =====Running train script=====
[2025-09-24 17:46:08,648][__main__][INFO] - Fetched main configs, save directory : ../outputs/norm/traffic/lags504_horizon504/seed_1/instance_NMSE/
[2025-09-24 17:46:08,649][__main__][INFO] - Model PatchTST, norma instance, criterion NMSE, kwargs {'last': False, 'latent': False}
[2025-09-24 17:46:12,123][__main__][INFO] - Fetched dataloaders
[2025-09-24 17:46:12,123][__main__][INFO] - Splits shapes:
train	(689, 1, 10526)
valid1	(689, 1, 3509)
valid2	(173, 1, 10526)
valid3	(173, 1, 3509)
test1	(689, 1, 3509)
test2	(173, 1, 3509)
[2025-09-24 17:46:12,123][__main__][INFO] - Batches:
 X=[64, 1, 504]
 y=[64, 1, 504]
[2025-09-25 03:42:11,719][__main__][INFO] - Step 10400 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3267
[2025-09-25 03:47:49,436][__main__][INFO] - Step 10500 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3263
[2025-09-25 03:53:27,171][__main__][INFO] - Step 10600 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3263
[2025-09-25 03:59:05,024][__main__][INFO] - Step 10700 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3269
[2025-09-25 04:04:42,658][__main__][INFO] - Step 10800 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3261
[2025-09-25 04:10:20,532][__main__][INFO] - Step 10900 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3264
[2025-09-25 04:15:58,761][__main__][INFO] - Step 11000 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3264
[2025-09-25 04:21:36,749][__main__][INFO] - Step 11100 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3260
[2025-09-25 04:27:14,050][__main__][INFO] - Step 11200 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3260
[2025-09-25 04:32:51,475][__main__][INFO] - Step 11300 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3264
[2025-09-25 04:38:28,867][__main__][INFO] - Step 11400 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3266
[2025-09-25 04:44:05,923][__main__][INFO] - Step 11500 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3260
[2025-09-25 04:49:43,328][__main__][INFO] - Step 11600 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3260
[2025-09-25 04:55:20,369][__main__][INFO] - Step 11700 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3257
[2025-09-25 05:00:57,919][__main__][INFO] - Step 11800 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3257
[2025-09-25 05:06:35,365][__main__][INFO] - Step 11900 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3259
[2025-09-25 05:12:12,482][__main__][INFO] - Step 12000 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3258
[2025-09-25 05:17:50,051][__main__][INFO] - Step 12100 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3256
[2025-09-25 05:23:27,496][__main__][INFO] - Step 12200 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3260
[2025-09-25 05:29:05,363][__main__][INFO] - Step 12300 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3262
[2025-09-25 05:34:43,350][__main__][INFO] - Step 12400 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3256
[2025-09-25 05:40:21,382][__main__][INFO] - Step 12500 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3254
[2025-09-25 05:45:59,134][__main__][INFO] - Step 12600 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3260
[2025-09-25 05:51:37,114][__main__][INFO] - Step 12700 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3259
[2025-09-25 05:57:14,430][__main__][INFO] - Step 12800 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3257
[2025-09-25 06:02:52,303][__main__][INFO] - Step 12900 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3252
[2025-09-25 06:08:30,124][__main__][INFO] - Step 13000 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3254
[2025-09-25 06:14:08,305][__main__][INFO] - Step 13100 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3253
[2025-09-25 06:19:46,934][__main__][INFO] - Step 13200 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3256
[2025-09-25 06:19:46,940][__main__][INFO] - Training done in 753.553 min
[2025-09-25 06:19:46,940][__main__][INFO] - Average time per step: 3.425 s
[2025-09-25 06:19:48,417][__main__][INFO] - End of training
[2025-09-25 06:19:48,417][__main__][INFO] - --Eval--
[2025-09-25 06:23:05,918][__main__][INFO] - End of script

[2025-09-25 06:23:18,584][__main__][INFO] - =====Running train script=====
[2025-09-25 06:23:18,651][__main__][INFO] - Fetched main configs, save directory : ../outputs/norm/traffic/lags504_horizon504/seed_1/revin_NMSE/
[2025-09-25 06:23:18,651][__main__][INFO] - Model PatchTST, norma revin, criterion NMSE, kwargs {'latent': False}
[2025-09-25 06:23:21,684][__main__][INFO] - Fetched dataloaders
[2025-09-25 06:23:21,684][__main__][INFO] - Splits shapes:
train	(689, 1, 10526)
valid1	(689, 1, 3509)
valid2	(173, 1, 10526)
valid3	(173, 1, 3509)
test1	(689, 1, 3509)
test2	(173, 1, 3509)
[2025-09-25 06:23:21,684][__main__][INFO] - Batches:
 X=[64, 1, 504]
 y=[64, 1, 504]
[2025-09-25 06:23:21,709][__main__][INFO] - --Training--
[2025-09-25 06:23:24,447][__main__][INFO] - Starting training pytorch with lr=1e-05
[2025-09-25 06:23:24,447][__main__][INFO] - Using device: cuda
[2025-09-25 06:23:24,447][__main__][INFO] - Training 1200 epochs of 11 batches (13200 steps): , eval_freq: 100, print_freq: 100
[2025-09-25 06:29:07,297][__main__][INFO] - Step 1 | valid1 MSE : 0.0028 | valid1 NMSE : 1.2400
[2025-09-25 06:34:53,810][__main__][INFO] - Step 100 | valid1 MSE : 0.0012 | valid1 NMSE : 0.5408
[2025-09-25 06:40:40,116][__main__][INFO] - Step 200 | valid1 MSE : 0.0010 | valid1 NMSE : 0.4624
[2025-09-25 06:46:26,651][__main__][INFO] - Step 300 | valid1 MSE : 0.0009 | valid1 NMSE : 0.4237
[2025-09-25 06:52:12,992][__main__][INFO] - Step 400 | valid1 MSE : 0.0008 | valid1 NMSE : 0.4002
[2025-09-25 06:57:59,316][__main__][INFO] - Step 500 | valid1 MSE : 0.0008 | valid1 NMSE : 0.3855
